Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black or African American	Female	F	35 years	35	2004	2004	126	1408319	8.94683661869221
Black or African American	Female	F	35 years	35	2005	2005	145	1396992	10.3794438336082
Black or African American	Female	F	35 years	35	2006	2006	159	1405559	11.3122252427682
Black or African American	Female	F	35 years	35	2007	2007	131	1413720	9.26633279574456
Black or African American	Female	F	35 years	35	2008	2008	136	1412276	9.62984572420688
Black or African American	Female	F	40 years	40	2004	2004	395	1510161	26.156151562648
Black or African American	Female	F	40 years	40	2005	2005	350	1506129	23.2383813073117
Black or African American	Female	F	40 years	40	2006	2006	329	1494626	22.0121956931032
Black or African American	Female	F	40 years	40	2007	2007	269	1471651	18.2787902838377
Black or African American	Female	F	40 years	40	2008	2008	306	1446445	21.1553152729623
Black or African American	Female	F	45 years	45	2004	2004	654	1398644	46.7595757033241
Black or African American	Female	F	45 years	45	2005	2005	622	1436071	43.3126217297056
Black or African American	Female	F	45 years	45	2006	2006	665	1461455	45.5025984378582
Black or African American	Female	F	45 years	45	2007	2007	606	1473530	41.1257320855361
Black or African American	Female	F	45 years	45	2008	2008	606	1485776	40.786767318896
Black or African American	Female	F	50 years	50	2004	2004	1019	1185311	85.9689988534655
Black or African American	Female	F	50 years	50	2005	2005	1052	1223782	85.9630228259608
Black or African American	Female	F	50 years	50	2006	2006	999	1264163	79.0246194517637
Black or African American	Female	F	50 years	50	2007	2007	991	1315461	75.3348065811149
Black or African American	Female	F	50 years	50	2008	2008	1063	1361382	78.0824191887362
Black or African American	Female	F	55 years	55	2004	2004	1301	906422	143.531379423712
Black or African American	Female	F	55 years	55	2005	2005	1328	976118	136.049125208223
Black or African American	Female	F	55 years	55	2006	2006	1320	1046312	126.157398557983
Black or African American	Female	F	55 years	55	2007	2007	1282	1085461	118.106500371731
Black or African American	Female	F	55 years	55	2008	2008	1317	1123799	117.191775397558
Black or African American	Female	F	60 years	60	2004	2004	1551	678186	228.698321699357
Black or African American	Female	F	60 years	60	2005	2005	1613	698748	230.84144784672
Black or African American	Female	F	60 years	60	2006	2006	1464	720394	203.222125670119
Black or African American	Female	F	60 years	60	2007	2007	1491	768767	193.946930604461
Black or African American	Female	F	60 years	60	2008	2008	1541	815179	189.038235773983
Black or African American	Female	F	65 years	65	2004	2004	1997	548655	363.98100810163
Black or African American	Female	F	65 years	65	2005	2005	1872	561769	333.233054867748
Black or African American	Female	F	65 years	65	2006	2006	1794	574475	312.285129901214
Black or African American	Female	F	65 years	65	2007	2007	1779	592733	300.135136731041
Black or African American	Female	F	65 years	65	2008	2008	1647	617326	266.795825868342
Black or African American	Female	F	70 years	70	2004	2004	2537	450801	562.776036432927
Black or African American	Female	F	70 years	70	2005	2005	2352	456614	515.09590157113
Black or African American	Female	F	70 years	70	2006	2006	2260	466664	484.288481648467
Black or African American	Female	F	70 years	70	2007	2007	2192	472797	463.623923163641
Black or African American	Female	F	70 years	70	2008	2008	2066	480483	429.983995271425
