Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black	Male	M	21 years	21	9	968868	0.928919109723925
Black	Male	M	22 years	22	16	961595	1.66390216255284
Black	Male	M	23 years	23	10	961344	1.04021037214566
Black	Male	M	24 years	24	13	977185	1.33035198043359
Black	Male	M	25 years	25	22	1008811	2.18078510246221
Black	Male	M	26 years	26	33	1049043	3.14572424581261
Black	Male	M	27 years	27	32	1080261	2.96224708658371
Black	Male	M	28 years	28	42	1095208	3.8348879847481
Black	Male	M	29 years	29	67	1089116	6.15177813933502
Black	Male	M	30 years	30	70	1054115	6.64064167571849
Black	Male	M	31 years	31	86	999444	8.60478426004859
Black	Male	M	32 years	32	58	942291	6.15521107598396
Black	Male	M	33 years	33	80	900062	8.88827658539078
Black	Male	M	34 years	34	109	877552	12.4209163673492
Black	Male	M	35 years	35	128	851553	15.0313603498549
Black	Male	M	36 years	36	140	833543	16.7957741832155
Black	Male	M	37 years	37	139	820898	16.9326761668319
Black	Male	M	38 years	38	172	817560	21.0382112627819
Black	Male	M	39 years	39	173	823433	21.0096024813191
Black	Male	M	40 years	40	207	808969	25.5881251321126
Black	Male	M	41 years	41	244	780641	31.2563649616149
Black	Male	M	42 years	42	254	750981	33.8224269322393
Black	Male	M	43 years	43	285	726340	39.2378225073657
Black	Male	M	44 years	44	274	719056	38.1055161211366
Black	Male	M	45 years	45	277	705382	39.2695021988086
Black	Male	M	46 years	46	322	703659	45.760801751985
Black	Male	M	47 years	47	343	712897	48.113542349035
Black	Male	M	48 years	48	401	737356	54.3834999647389
Black	Male	M	49 years	49	411	758275	54.2019715802315
Black	Male	M	50 years	50	434	750968	57.7920763601112
Black	Male	M	51 years	51	447	724668	61.6834191657421
Black	Male	M	52 years	52	510	706921	72.1438463420948
Black	Male	M	53 years	53	506	713134	70.9544068856624
Black	Male	M	54 years	54	557	731640	76.1303373243672
Black	Male	M	55 years	55	653	747038	87.4118853391661
Black	Male	M	56 years	56	660	744674	88.6293868189302
Black	Male	M	57 years	57	723	734002	98.5010940024686
Black	Male	M	58 years	58	719	724056	99.3017114698311
Black	Male	M	59 years	59	837	725162	115.422484906821
Black	Male	M	60 years	60	865	712217	121.451748554163
Black	Male	M	61 years	61	930	687857	135.202520291281
Black	Male	M	62 years	62	948	662784	143.03302433372
Black	Male	M	63 years	63	974	635184	153.341393989773
Black	Male	M	64 years	64	950	608679	156.075698356605
Black	Male	M	65 years	65	939	571213	164.387015001409
Black	Male	M	66 years	66	944	530242	178.03191750182
Black	Male	M	67 years	67	845	489544	172.609612210547
Black	Male	M	68 years	68	881	459194	191.857907551057
Black	Male	M	69 years	69	871	438506	198.628981131387
Black	Male	M	70 years	70	819	414028	197.812708319244
Black	Male	M	71 years	71	777	384851	201.8963183154
Black	Male	M	72 years	72	811	357142	227.080544993308
Black	Male	M	73 years	73	739	314244	235.167576787464
Black	Male	M	74 years	74	633	281095	225.190771803127
Black	Male	M	75 years	75	566	242882	233.03497171466
Black	Male	M	76 years	76	619	226855	272.861519472791
Black	Male	M	77 years	77	565	206873	273.114422858469
Black	Male	M	78 years	78	571	186625	305.961152042867
Black	Male	M	79 years	79	515	167434	307.583883798989
Black	Male	M	80 years	80	515	150725	341.681870957041
Black	Male	M	81 years	81	547	135171	404.672599891989
Black	Male	M	82 years	82	503	120006	419.145709381198
Black	Male	M	83 years	83	478	107750	443.619489559165
Black	Male	M	84 years	84	424	96009	441.625264298139
Black	Male	M	85 years	85	3653	470525	776.366824292014
White	Female	F	21 years	21	2	3404100	0.058752680591052
White	Female	F	23 years	23	4	3431605	0.116563532224717
White	Female	F	24 years	24	6	3472726	0.172774932430604
White	Female	F	25 years	25	3	3524474	0.0851190844364294
White	Female	F	26 years	26	10	3581988	0.279174581266046
White	Female	F	27 years	27	6	3662644	0.163816084773732
White	Female	F	28 years	28	15	3769916	0.397886849468264
White	Female	F	29 years	29	20	3859891	0.51814934670435
White	Female	F	30 years	30	26	3860517	0.673484924428516
White	Female	F	31 years	31	29	3810651	0.761024822267901
White	Female	F	32 years	32	32	3742673	0.855003896947449
White	Female	F	33 years	33	36	3725011	0.966440099103063
White	Female	F	34 years	34	27	3740473	0.721833842939115
White	Female	F	35 years	35	53	3725996	1.42243845672405
White	Female	F	36 years	36	57	3710983	1.53598116725407
White	Female	F	37 years	37	64	3702100	1.72874854812134
White	Female	F	38 years	38	87	3712034	2.34372853265891
White	Female	F	39 years	39	88	3711505	2.37100583186605
White	Female	F	40 years	40	97	3640864	2.66420278263621
White	Female	F	41 years	41	103	3538546	2.91080008568491
White	Female	F	42 years	42	115	3461596	3.32216700042408
White	Female	F	43 years	43	154	3384100	4.55069294642593
White	Female	F	44 years	44	158	3370815	4.68729372570135
White	Female	F	45 years	45	158	3337826	4.73362002692771
White	Female	F	46 years	46	184	3359189	5.47751257818479
White	Female	F	47 years	47	221	3448107	6.40931386409992
White	Female	F	48 years	48	265	3660534	7.23938092092574
White	Female	F	49 years	49	307	3877746	7.91697032245021
White	Female	F	50 years	50	313	3956516	7.91100048628642
White	Female	F	51 years	51	344	3867065	8.89563532032691
White	Female	F	52 years	52	376	3833475	9.80833317029588
White	Female	F	53 years	53	453	3863961	11.7237208139523
White	Female	F	54 years	54	466	4031168	11.5599250639021
White	Female	F	55 years	55	550	4218189	13.0387709038168
White	Female	F	56 years	56	610	4373972	13.9461340859064
White	Female	F	57 years	57	700	4472563	15.6509813277085
White	Female	F	58 years	58	760	4555428	16.6833939642993
White	Female	F	59 years	59	823	4628182	17.7823603306871
White	Female	F	60 years	60	899	4623297	19.4449978013526
White	Female	F	61 years	61	954	4573952	20.8572368052835
White	Female	F	62 years	62	1001	4573842	21.8853209183876
White	Female	F	63 years	63	1015	4521593	22.4478408383948
White	Female	F	64 years	64	1142	4450130	25.6621716668951
White	Female	F	65 years	65	1190	4347018	27.3750879338434
White	Female	F	66 years	66	1233	4243308	29.0575183323954
White	Female	F	67 years	67	1275	4124711	30.9112565704603
White	Female	F	68 years	68	1350	3993599	33.8040950030286
White	Female	F	69 years	69	1485	3872697	38.3453701645133
White	Female	F	70 years	70	1490	3752867	39.7029790823922
White	Female	F	71 years	71	1685	3666940	45.9511200074176
White	Female	F	72 years	72	1857	3732514	49.7519902135665
White	Female	F	73 years	73	1899	3413580	55.630745434412
White	Female	F	74 years	74	1893	3111681	60.8352848508571
White	Female	F	75 years	75	1801	2694330	66.8440762638578
White	Female	F	76 years	76	2105	2680247	78.5375377717054
White	Female	F	77 years	77	2133	2562627	83.2348991874354
White	Female	F	78 years	78	2332	2371217	98.3461235306596
White	Female	F	79 years	79	2368	2109929	112.231264653929
White	Female	F	80 years	80	2637	1934109	136.341850433455
White	Female	F	81 years	81	2741	1797742	152.469041720113
White	Female	F	82 years	82	2895	1667701	173.592268638083
White	Female	F	83 years	83	3153	1540774	204.637409509766
White	Female	F	84 years	84	3487	1418172	245.879907373718
White	Female	F	85 years	85	67717	9557716	708.506090785707
White	Male	M	20 years	20	7	3582279	0.195406332114277
White	Male	M	21 years	21	9	3581868	0.251265540773697
White	Male	M	22 years	22	14	3580375	0.391020493663373
White	Male	M	23 years	23	16	3601723	0.444231830154623
White	Male	M	24 years	24	11	3648405	0.301501615089334
White	Male	M	25 years	25	26	3708542	0.701084145737058
White	Male	M	26 years	26	22	3767363	0.583962840851811
White	Male	M	27 years	27	27	3843790	0.702431714531751
White	Male	M	28 years	28	47	3924462	1.19761638665376
White	Male	M	29 years	29	32	3982192	0.803577527150876
White	Male	M	30 years	30	65	3965245	1.63924297237623
White	Male	M	31 years	31	61	3902759	1.56299684402752
White	Male	M	32 years	32	73	3835297	1.90337280267995
White	Male	M	33 years	33	80	3811718	2.09879114876809
White	Male	M	34 years	34	137	3826250	3.58052923881085
White	Male	M	35 years	35	130	3798801	3.42213240440865
White	Male	M	36 years	36	149	3774410	3.94763684920292
White	Male	M	37 years	37	169	3762916	4.49119778384636
White	Male	M	38 years	38	201	3771804	5.32901497532746
White	Male	M	39 years	39	219	3778798	5.7954936993192
White	Male	M	40 years	40	223	3710190	6.010473857134
White	Male	M	41 years	41	288	3595547	8.00990781096729
White	Male	M	42 years	42	276	3512902	7.85675205286114
White	Male	M	43 years	43	346	3430964	10.0846292762034
White	Male	M	44 years	44	362	3419689	10.5857579446552
White	Male	M	45 years	45	399	3381799	11.7984540181128
White	Male	M	46 years	46	458	3389331	13.5129912068193
White	Male	M	47 years	47	495	3475741	14.2415674815816
White	Male	M	48 years	48	540	3688639	14.6395459138181
White	Male	M	49 years	49	678	3912370	17.3296492918615
White	Male	M	50 years	50	739	3994845	18.4988403805404
White	Male	M	51 years	51	780	3886362	20.0701838892002
White	Male	M	52 years	52	894	3833948	23.3180001398037
White	Male	M	53 years	53	934	3847631	24.2746770675254
White	Male	M	54 years	54	1056	3992958	26.4465591674142
White	Male	M	55 years	55	1193	4155257	28.7106188618418
White	Male	M	56 years	56	1395	4275162	32.630342429129
White	Male	M	57 years	57	1475	4357897	33.8466007801469
White	Male	M	58 years	58	1614	4415700	36.5513961546301
White	Male	M	59 years	59	1715	4477397	38.3035053626024
White	Male	M	60 years	60	1883	4458822	42.230885197929
White	Male	M	61 years	61	2017	4383169	46.0169343230891
White	Male	M	62 years	62	2131	4354964	48.9326662631425
White	Male	M	63 years	63	2258	4278835	52.7713735163894
White	Male	M	64 years	64	2187	4186348	52.2412374699858
White	Male	M	65 years	65	2208	4053272	54.4745084958522
White	Male	M	66 years	66	2224	3924328	56.6721232272124
White	Male	M	67 years	67	2190	3793773	57.7261739171005
White	Male	M	68 years	68	2248	3649100	61.604231180291
White	Male	M	69 years	69	2248	3524250	63.7866212669362
White	Male	M	70 years	70	2313	3392751	68.1747643726286
White	Male	M	71 years	71	2388	3297843	72.410966804666
White	Male	M	72 years	72	2496	3339862	74.7336267187087
White	Male	M	73 years	73	2435	3036217	80.198483836959
White	Male	M	74 years	74	2345	2756735	85.0643968317593
White	Male	M	75 years	75	2158	2333973	92.4603669365498
White	Male	M	76 years	76	2281	2289753	99.6177316942046
White	Male	M	77 years	77	2366	2159141	109.580615624454
White	Male	M	78 years	78	2520	1964400	128.283445326817
White	Male	M	79 years	79	2312	1712786	134.984755830559
White	Male	M	80 years	80	2425	1544550	157.003658023373
White	Male	M	81 years	81	2449	1405369	174.260283242337
White	Male	M	82 years	82	2614	1273110	205.323970434605
White	Male	M	83 years	83	2577	1143801	225.301429182174
White	Male	M	84 years	84	2690	1021117	263.437000852987
White	Male	M	85 years	85	33332	5528321	602.931703857283
