Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black	Female	F	20 years	20	3	943409	0.317995694338299
Black	Female	F	21 years	21	2	943061	0.212075358858017
Black	Female	F	22 years	22	3	938675	0.319599435374331
Black	Female	F	23 years	23	3	941045	0.318794531611134
Black	Female	F	24 years	24	6	956044	0.627586178042015
Black	Female	F	25 years	25	13	986638	1.31760584935914
Black	Female	F	26 years	26	11	1022935	1.0753371426337
Black	Female	F	27 years	27	21	1055103	1.99032701072786
Black	Female	F	28 years	28	24	1080242	2.22172439138637
Black	Female	F	29 years	29	25	1090180	2.29319928819094
Black	Female	F	30 years	30	31	1069211	2.89933418193415
Black	Female	F	31 years	31	39	1024795	3.80563917661581
Black	Female	F	32 years	32	57	974976	5.84629775502166
Black	Female	F	33 years	33	56	939850	5.95839761664095
Black	Female	F	34 years	34	69	923448	7.47199625750448
Black	Female	F	35 years	35	62	905242	6.84899728470398
Black	Female	F	36 years	36	72	893812	8.05538524879952
Black	Female	F	37 years	37	77	889756	8.65405796645372
Black	Female	F	38 years	38	98	891636	10.9910322149397
Black	Female	F	39 years	39	101	900392	11.2173364490133
Black	Female	F	40 years	40	106	888237	11.9337519153109
Black	Female	F	41 years	41	144	863690	16.6726487512881
Black	Female	F	42 years	42	138	838167	16.464499318155
Black	Female	F	43 years	43	144	812848	17.7154892427613
Black	Female	F	44 years	44	154	805509	19.1183462878751
Black	Female	F	45 years	45	197	792409	24.8608988540009
Black	Female	F	46 years	46	153	795790	19.2261777604644
Black	Female	F	47 years	47	200	807540	24.7665750303391
Black	Female	F	48 years	48	208	836596	24.8626577224849
Black	Female	F	49 years	49	250	856550	29.1868542408499
Black	Female	F	50 years	50	262	844995	31.0061006278144
Black	Female	F	51 years	51	305	815630	37.394406777583
Black	Female	F	52 years	52	283	800412	35.356791252505
Black	Female	F	53 years	53	340	810123	41.968935581387
Black	Female	F	54 years	54	325	832713	39.0290532272223
Black	Female	F	55 years	55	367	852502	43.0497523759475
Black	Female	F	56 years	56	413	854859	48.3120608193866
Black	Female	F	57 years	57	409	847176	48.2780437595022
Black	Female	F	58 years	58	436	841734	51.7978363711101
Black	Female	F	59 years	59	454	846626	53.6246229149589
Black	Female	F	60 years	60	477	835345	57.102155396872
Black	Female	F	61 years	61	555	811054	68.4294757192493
Black	Female	F	62 years	62	556	791499	70.2464564073991
Black	Female	F	63 years	63	583	768040	75.9075048174574
Black	Female	F	64 years	64	614	746463	82.2545792624685
Black	Female	F	65 years	65	633	712633	88.8255244985848
Black	Female	F	66 years	66	644	673123	95.6734504689336
Black	Female	F	67 years	67	586	634030	92.4246486759302
Black	Female	F	68 years	68	618	604639	102.209748296091
Black	Female	F	69 years	69	616	584180	105.446951282139
Black	Female	F	70 years	70	587	556879	105.408894930497
Black	Female	F	71 years	71	625	521935	119.746711755295
Black	Female	F	72 years	72	630	489331	128.747207922654
Black	Female	F	73 years	73	652	436434	149.392577113607
Black	Female	F	74 years	74	572	394779	144.89119228733
Black	Female	F	75 years	75	560	350421	159.807774077467
Black	Female	F	76 years	76	557	334183	166.675145055254
Black	Female	F	77 years	77	620	310428	199.724251678328
Black	Female	F	78 years	78	625	287940	217.059109536709
Black	Female	F	79 years	79	609	264230	230.481020323203
Black	Female	F	80 years	80	646	242433	266.465373938366
Black	Female	F	81 years	81	605	222552	271.846579675761
Black	Female	F	82 years	82	654	203100	322.008862629247
Black	Female	F	83 years	83	683	188924	361.52103491351
Black	Female	F	84 years	84	662	173832	380.827465598969
Black	Female	F	85 years	85	8695	1063715	817.418199423718
Black	Male	M	20 years	20	5	969852	0.515542577630401
